From	To
ENSG00000007372	A0A1W2PR58
ENSG00000007372	A0A1W2PRA4
ENSG00000007372	A0A1W2PRA8
ENSG00000007372	A0A1W2PRG3
ENSG00000007372	A0A1W2PRH6
ENSG00000007372	A0A1W2PRS6
ENSG00000007372	A0A1W2PRU4
ENSG00000007372	A0A1W2PRW7
ENSG00000007372	A0A1W2PS91
ENSG00000007372	A0A1W2PSA8
ENSG00000007372	A0A1W2PSB5
ENSG00000007372	A0A1X7SBT0
ENSG00000007372	B1B1I8
ENSG00000007372	B1B1I9
ENSG00000007372	B1B1J0
ENSG00000007372	E9PKM0
ENSG00000007384	Q96CC6
ENSG00000007384	A0A1B0GXG1
ENSG00000007384	A0ACI8RPI2
ENSG00000007384	A0ACI8SV44
ENSG00000007384	A0ACI8SV56
ENSG00000007384	A0ACI8UAC0
ENSG00000007384	A0ACI8UCM4
ENSG00000007384	A0ACI8UDF0
ENSG00000007384	A0ACI8UDG5
ENSG00000007384	A0ACI8UDT2
ENSG00000007384	B8ZZ07
ENSG00000007384	F8WBS4
ENSG00000007384	F8WCF7
ENSG00000007384	H0Y6L9
ENSG00000007392	Q9NQ29
ENSG00000007392	A0ACI8QNA1
ENSG00000007392	A0ACI8RP42
ENSG00000007392	A0ACI8T1J3
ENSG00000007392	A0ACI8T1K0
ENSG00000007392	A0ACI8T1K5
ENSG00000007392	A0ACI8T1K7
ENSG00000007392	A0ACI8T1L4
ENSG00000007392	A0ACI8UNK9
ENSG00000007392	A0ACI8UP03
ENSG00000007392	A8MYV2
ENSG00000007392	B8ZZ08
ENSG00000007392	B8ZZ09
ENSG00000007392	B8ZZ10
ENSG00000007392	B8ZZ12
ENSG00000007392	F2Z322
ENSG00000007392	F8WBC1
ENSG00000007392	H7C2U4
ENSG00000007866	Q99594
ENSG00000007866	A0A1X7SBS4
ENSG00000007866	A0A7P0SNI2
ENSG00000007866	B5MCM0
ENSG00000007923	Q9NVH1
ENSG00000007923	A0A8I5KRM1
ENSG00000007923	A0A8I5KXQ7
ENSG00000007923	A0A8I5QJB4
ENSG00000007923	A0ACI8Q580
ENSG00000007923	A0ACI8RG95
ENSG00000007923	A0ACI8RIF7
ENSG00000007923	A0ACI8RUS0
ENSG00000007923	A0ACI8S6K2
ENSG00000007923	A0ACI8SBM1
ENSG00000007923	A0ACI8U304
ENSG00000007923	A0ACI8U315
ENSG00000007923	A0ACI8U350
ENSG00000007923	A0ACI8UXA8
ENSG00000007923	A0ACI8UXH4
ENSG00000007923	B1AK20
ENSG00000007923	Q5TH61
ENSG00000007933	P31513
ENSG00000007933	A0ACI8QKP2
ENSG00000007933	A0ACI8QLX4
ENSG00000007933	A0ACI8S1I5
ENSG00000007933	A0ACI8S928
ENSG00000007933	V9GYP3
ENSG00000007933	V9GZ60
ENSG00000007944	Q8WY64
ENSG00000007944	A0ABB0MVD9
ENSG00000007944	A0ABB0MVE0
ENSG00000007944	Q5TIA5
ENSG00000007952	Q9Y5S8
ENSG00000007952	A0ACI8PHW4
ENSG00000007952	A0ACI8PPC7
ENSG00000007952	A0ACI8Q5D0
ENSG00000007952	A0ACI8RWB4
ENSG00000007952	A0ACI8UNG8
ENSG00000007952	A6NGA6
ENSG00000007952	H0Y581
ENSG00000007952	Q5H9D4
ENSG00000008018	P20618
ENSG00000008018	A0ACI8QFX6
ENSG00000008018	A0ACI8S7H9
ENSG00000008018	A0ACI8T184
ENSG00000008086	O76039
ENSG00000008086	A0A096LNR9
ENSG00000008086	A0A096LP32
ENSG00000008086	A0A096LPG3
ENSG00000008086	A0A096LPI4
ENSG00000008086	A0A1B0GTX4
ENSG00000008086	A0A1B0GUM4
ENSG00000008086	A0A669KBC2
ENSG00000008118	Q96NX5
ENSG00000008118	A0A494C109
ENSG00000008118	C9IYV2
ENSG00000008130	O95544
ENSG00000008130	A0A0A0MR98
ENSG00000008130	A0ACI8QND0
ENSG00000008130	A0ACI8R776
ENSG00000008130	A0ACI8RHA7
ENSG00000008130	A0ACI8RJL9
ENSG00000008130	A0ACI8S733
ENSG00000008130	A0ACI8TLJ6
ENSG00000008130	A0ACI8UWW0
ENSG00000008130	A0ACI8UWY7
ENSG00000008130	J3KSP9
ENSG00000008130	J3KTI3
ENSG00000008130	J3QR86
ENSG00000008130	J3QRC0
ENSG00000008197	Q7Z6R9
ENSG00000008256	O43739
ENSG00000008256	A0ACI8QNT6
ENSG00000008256	A0ACI8QNV3
ENSG00000008256	A0ACI8QQF4
ENSG00000008256	A0ACI8S8U1
ENSG00000008256	A0ACI8SCE2
ENSG00000008256	A0ACI8UNC2
ENSG00000008282	Q16563
ENSG00000008282	A0A0U1RQT9
ENSG00000008282	A0A994J5J4
ENSG00000008282	A0A994J5W6
ENSG00000008282	A0A994J846
ENSG00000008282	A0ACI8QML7
ENSG00000008282	C9JYN0
ENSG00000008282	H7C4J8
ENSG00000008283	P49447
ENSG00000008283	A0ACI8VDT0
